Team,mu,sigma,Score,Rank
3707,33.165672860044324,1.1102845801187387,29.83481911968811,57.0
78,33.08811191817592,1.1108465309243194,29.75557232540296,58.0
125,33.06565670129267,1.10670819715261,29.745532109834837,59.0
364,33.32277628944565,1.1955146142769169,29.7362324466149,60.0
20,33.10272991330457,1.1305848553364914,29.710975347295097,61.0
624,33.13523527891632,1.1514095696205684,29.681006570054613,62.0
2826,33.06211190818172,1.1295870827923493,29.673350659804672,63.0
40,33.31024439257562,1.2288139297714251,29.623802603261343,64.0
5883,34.757348400652845,1.7326552913337079,29.55938252665172,65.0
3309,33.02059574330605,1.1630533237538772,29.53143577204442,66.0
1023,32.89936777324738,1.1287105326741589,29.5132361752249,67.0
1325,32.952483940971774,1.1473310651421116,29.51049074554544,68.0
234,32.83132340239308,1.1118735664655839,29.49570270299633,69.0
368,32.907068043672986,1.175237867540424,29.381354441051712,70.0
1538,32.76997337918181,1.1393194444012644,29.35201504597802,71.0
2054,32.65751152008045,1.1075856100186392,29.334754690024532,72.0
7521,35.489085558054505,2.0524685031114385,29.331680048720187,73.0
3015,32.69016021806664,1.1214180031781877,29.325906208532075,74.0
694,32.73197507688592,1.13855832332085,29.316300106923364,75.0
319,32.57725218265233,1.121514425752914,29.21270890539359,76.0
222,32.47023043294924,1.0905513321994589,29.198576436350866,77.0
233,32.59221688101351,1.133224439069978,29.19254356380358,78.0
842,32.6591950742692,1.1576145707932624,29.18635136188941,79.0
3130,32.63969830227403,1.1532310335846108,29.180005201520196,80.0
1507,32.58734156300942,1.1435747212961238,29.156617399121046,81.0
2753,34.7287604435222,1.8594469310038195,29.15041965051074,82.0
4564,32.57824088154631,1.1468238216645918,29.13776941655253,83.0
4362,32.441666135918084,1.1057707983112415,29.12435374098436,84.0
1983,32.472868621513015,1.1198461659148935,29.113330123768336,85.0
4003,32.42182798794239,1.1043270762117259,29.108846759307216,86.0
5050,32.585533186931166,1.1650462415727036,29.090394462213055,87.0
1796,32.44049657236019,1.1309110202632227,29.047763511570523,88.0
4917,32.492197674037776,1.153683203264614,29.031148064243933,89.0
868,32.34321494576825,1.1077802180510066,29.01987429161523,90.0
177,32.28205589498174,1.0953546498367481,28.995991945471495,91.0
27,32.34424613457869,1.123285366095981,28.974390036290746,92.0
1503,32.53405522630568,1.2026666695820625,28.926055217559494,93.0
1477,32.32641020080924,1.1408613265669016,28.903826221108538,94.0
604,32.26066150465635,1.1458337403509748,28.82316028360342,95.0
2974,32.180025852488605,1.1431844569924787,28.750472481511167,96.0
3476,32.196997406498625,1.1576232987496455,28.724127510249687,97.0
744,32.16243053120468,1.1488197800319615,28.715971191108792,98.0
303,32.035705458416004,1.1130370329160737,28.696594359667785,99.0
3990,32.27495887054368,1.1943736469436927,28.691837929712598,100.0
1310,32.06849688411836,1.1264797230849326,28.689057714863562,101.0
340,32.03445533110004,1.118504572876815,28.678941612469597,102.0
4039,32.106421861732024,1.153264276334962,28.646629032727137,103.0
1158,32.55102578645786,1.3198279451015424,28.591541951153236,104.0
346,31.76387384645345,1.0754931125596279,28.537394508774568,105.0
2451,31.938643219699387,1.155659616459052,28.47166437032223,106.0
25,31.795806003122575,1.1167022962072177,28.445699114500922,107.0
4910,31.89769048318167,1.1704527100884201,28.38633235291641,108.0
4028,31.841665032232406,1.1582491512478887,28.36691757848874,109.0
3452,31.71234369308848,1.1187399530727495,28.35612383387023,110.0
4414,35.02417571348681,2.223419367643141,28.35391761055739,111.0
1718,31.639589552850893,1.1091033409955984,28.3122795298641,112.0
2614,31.642476727414063,1.1136054414846557,28.301660402960096,113.0
56,31.569717666449392,1.0975563986055343,28.27704847063279,114.0
5460,31.67158751048342,1.1415559011990668,28.24691980688622,115.0
71,31.559726212294812,1.1074483004586084,28.237381310918988,116.0
188,31.638725810958483,1.139833852785055,28.21922425260332,117.0
3641,31.466974784873074,1.1114141065917253,28.1327324650979,118.0
1756,31.51373454836197,1.1334410446614915,28.113411414377495,119.0
2468,31.509718332753838,1.1366805253796064,28.09967675661502,120.0
5254,31.676262816467368,1.193130129751121,28.096872427214006,121.0
1625,31.467800446041917,1.1312671049957668,28.073999131054617,122.0
86,31.575226995935655,1.1767720131355592,28.044910956528977,123.0
876,31.542673743455296,1.1672954355219896,28.040787436889328,124.0
365,31.289687938320995,1.087928256720065,28.0259031681608,125.0
836,31.28361796772968,1.0918443000921034,28.00808506745337,126.0
4678,31.475196017941244,1.15869942577764,27.999097740608324,127.0
1806,31.406944021595866,1.1371293641945734,27.995555929012145,128.0
1421,31.50461894776917,1.1697722015168064,27.99530234321875,129.0
3357,31.289739755472045,1.1022673198541244,27.98293779590967,130.0
